"Manufacturer","Year","Name","IPDB","OPDB","InCatalog","Type"
"Zaccaria","1978","Winter Sports","3563","GrxWp-MDvrD","False","ss"
"Zaccaria","1978","Strike","3363","GRpyl-MJNBo","False","ss"
"Zaccaria","1978","House of Diamonds","3165","GRVpL-MJjPR","False","ss"
"Zaccaria","1979","Shooting the Rapids","3606","G41oq-MQVR1","False","ss"
"Zaccaria","1979","Hot Wheels","3164","GrOY9-Mq14V","False","ss"
"Zaccaria","1979","Space City","3267","G5Kl7-M1rzV","False","ss"
"Zaccaria","1980","Fire Mountain","3097","G4E9p-MDOrl","False","ss"
"Zaccaria","1980","Space Shuttle","3263","G4jyz-MDyYE","False","ss"
"Zaccaria","1980","Star God","3458","G5vXk-M2Y8r","False","ss"
"Zaccaria","1981","Earth Wind Fire","3611","GR96Q-MNEnx","False","ss"
"Zaccaria","1981","Locomotion","3217","G4d7B-MJVlK","False","ss"
"Zaccaria","1982","Soccer Kings","2235","GR0VJ-MDnEy","False","ss"
"Zaccaria","1982","Pinball Champ '82","1794","GrPdq-MQYkJ","False","ss"
"Zaccaria","1983","Time Machine","3494","GRnoY-MQVwx","False","ss"
"Zaccaria","1983","Pinball Champ","1793","GrPdq-M9RRe","False","ss"
"Zaccaria","1983","Farfalla","824","GRVw2-M4oWO","False","ss"
"Zaccaria","1984","Devil Riders","672","G5DPP-MJKbp","False","ss"
"Zaccaria","1984","Magic Castle","1511","G5v2B-MQ2xy","False","ss"
"Zaccaria","1985","Pool Champion","3311","G4jex-MLly8","False","ss"
"Zaccaria","1985","Robot","1977","G5Wjk-MLvBr","False","ss"
"Zaccaria","1985","Clown","3024","G5Wjo-MJ9ll","False","ss"
"Zaccaria","1986","Zankor","3531","G5z71-MBRXz","False","ss"
"Zaccaria","1986","Mystic Star","3375","G5QOw-M61dY","False","ss"
"Zaccaria","1986","Blackbelt","316","G5Ljd-MLWj0","False","ss"
"Zaccaria","1986","Mexico 86","3382","GrxeN-MD0ky","False","ss"
"Zaccaria","1987","Star's Phoenix","4509","G5VYY-MJ9V1","False","ss"
"Zaccaria","1987","Spooky","3459","Gr1j8-MDxzp","False","ss"
"Zaccaria","1987","New Star's Phoenix","4510","G5VYY-MRjqd","False","ss"
